date,code,amount,closeable_amount,avg_cost,acc_avg_cost,price,value,floating_pnl,floating_pnl_pct,cash,positions_value,total_value,daily_positions_value,daily_total_market_value,daily_floating_pnl
2025-05-13 15:00:00,000001.XSHE,8500,8500,11.04,11.04,11.29,95965.0,2125.0,2.264492753623193,2409.9300000000076,95965.0,98374.93000000001,95965.0,98374.93000000001,2125.0
2025-05-14 15:00:00,000001.XSHE,8500,8500,11.04,11.04,11.43,97155.0,3315.000000000005,3.532608695652173,2409.9300000000076,97155.0,99564.93000000001,97155.0,99564.93000000001,3315.000000000005
2025-05-15 15:00:00,000001.XSHE,8500,8500,11.04,11.04,11.39,96815.0,2975.0000000000123,3.1702898550724834,2409.9300000000076,96815.0,99224.93000000001,96815.0,99224.93000000001,2975.0000000000123
2025-05-16 15:00:00,000001.XSHE,8500,8500,11.04,11.04,11.38,96730.0,2890.000000000014,3.079710144927561,2409.9300000000076,96730.0,99139.93000000001,96730.0,99139.93000000001,2890.000000000014
2025-05-19 15:00:00,000001.XSHE,8500,8500,11.04,11.04,11.37,96645.0,2805.0000000000005,2.9891304347826164,2409.9300000000076,96645.0,99054.93000000001,96645.0,99054.93000000001,2805.0000000000005
2025-05-20 15:00:00,000001.XSHE,8500,8500,11.04,11.04,11.39,96815.0,2975.0000000000123,3.1702898550724834,2409.9300000000076,96815.0,99224.93000000001,96815.0,99224.93000000001,2975.0000000000123
2025-05-21 15:00:00,000001.XSHE,8500,8500,11.04,11.04,11.48,97580.0,3740.000000000011,3.9855072463768293,2409.9300000000076,97580.0,99989.93000000001,97580.0,99989.93000000001,3740.000000000011
2025-05-22 15:00:00,000001.XSHE,8500,8500,11.04,11.04,11.55,98175.0,4335.000000000014,4.619565217391308,2409.9300000000076,98175.0,100584.93000000001,98175.0,100584.93000000001,4335.000000000014
2025-05-23 15:00:00,000001.XSHE,8500,8500,11.04,11.04,11.46,97410.0,3570.0000000000146,3.8043478260869623,2409.9300000000076,97410.0,99819.93000000001,97410.0,99819.93000000001,3570.0000000000146
2025-05-26 15:00:00,000001.XSHE,8500,8500,11.04,11.04,11.42,97070.0,3230.000000000007,3.4420289855072506,2409.9300000000076,97070.0,99479.93000000001,97070.0,99479.93000000001,3230.000000000007
2025-05-27 15:00:00,000001.XSHE,8500,8500,11.04,11.04,11.49,97665.0,3825.000000000009,4.076086956521752,2409.9300000000076,97665.0,100074.93000000001,97665.0,100074.93000000001,3825.000000000009
2025-05-28 15:00:00,000001.XSHE,8500,8500,11.04,11.04,11.53,98005.0,4165.000000000002,4.438405797101441,2409.9300000000076,98005.0,100414.93000000001,98005.0,100414.93000000001,4165.000000000002
2025-05-29 15:00:00,000001.XSHE,8500,8500,11.04,11.04,11.46,97410.0,3570.0000000000146,3.8043478260869623,2409.9300000000076,97410.0,99819.93000000001,97410.0,99819.93000000001,3570.0000000000146
2025-05-30 15:00:00,000001.XSHE,8500,8500,11.04,11.04,11.56,98260.0,4420.000000000012,4.710144927536253,2409.9300000000076,98260.0,100669.93000000001,98260.0,100669.93000000001,4420.000000000012
2025-06-03 15:00:00,000001.XSHE,8500,8500,11.04,11.04,11.81,100385.0,6545.000000000012,6.9746376811594235,2409.9300000000076,100385.0,102794.93000000001,100385.0,102794.93000000001,6545.000000000012
2025-06-04 15:00:00,000001.XSHE,8500,8500,11.04,11.04,11.84,100640.0,6800.000000000006,7.246376811594213,2409.9300000000076,100640.0,103049.93000000001,100640.0,103049.93000000001,6800.000000000006
2025-06-05 15:00:00,000001.XSHE,8500,8500,11.04,11.04,11.67,99195.0,5355.000000000006,5.7065217391304435,2409.9300000000076,99195.0,101604.93000000001,99195.0,101604.93000000001,5355.000000000006
2025-06-06 15:00:00,000001.XSHE,8500,8500,11.04,11.04,11.7,99450.0,5610.000000000001,5.978260869565211,2409.9300000000076,99450.0,101859.93000000001,99450.0,101859.93000000001,5610.000000000001
2025-06-09 15:00:00,000001.XSHE,8500,8500,11.04,11.04,11.71,99535.0,5695.000000000015,6.068840579710155,2409.9300000000076,99535.0,101944.93000000001,99535.0,101944.93000000001,5695.000000000015
2025-06-10 15:00:00,000001.XSHE,8500,8500,11.04,11.04,11.81,100385.0,6545.000000000012,6.9746376811594235,2409.9300000000076,100385.0,102794.93000000001,100385.0,102794.93000000001,6545.000000000012
2025-06-11 15:00:00,000001.XSHE,8500,8500,11.04,11.04,11.85,100725.0,6885.000000000005,7.336956521739135,2409.9300000000076,100725.0,103134.93000000001,100725.0,103134.93000000001,6885.000000000005
2025-06-12 15:00:00,000001.XSHE,8500,8500,11.04,11.04,11.68,99280.0,5440.000000000005,5.797101449275366,2409.9300000000076,99280.0,101689.93000000001,99280.0,101689.93000000001,5440.000000000005
2025-06-13 15:00:00,000001.XSHE,8500,8500,11.04,11.04,11.58,98430.0,4590.000000000008,4.891304347826098,2409.9300000000076,98430.0,100839.93000000001,98430.0,100839.93000000001,4590.000000000008
2025-06-16 15:00:00,000001.XSHE,8500,8500,11.04,11.04,11.79,100215.0,6375.0,6.7934782608695565,2409.9300000000076,100215.0,102624.93000000001,100215.0,102624.93000000001,6375.0
2025-06-17 15:00:00,000001.XSHE,8500,8500,11.04,11.04,11.76,99960.0,6120.0000000000055,6.521739130434789,2409.9300000000076,99960.0,102369.93000000001,99960.0,102369.93000000001,6120.0000000000055
2025-06-18 15:00:00,000001.XSHE,8500,8500,11.04,11.04,11.77,100045.0,6205.000000000004,6.612318840579712,2409.9300000000076,100045.0,102454.93000000001,100045.0,102454.93000000001,6205.000000000004
2025-06-19 15:00:00,000001.XSHE,8500,8500,11.04,11.04,11.7,99450.0,5610.000000000001,5.978260869565211,2409.9300000000076,99450.0,101859.93000000001,99450.0,101859.93000000001,5610.000000000001
2025-06-20 15:00:00,000001.XSHE,8500,8500,11.04,11.04,11.84,100640.0,6800.000000000006,7.246376811594213,2409.9300000000076,100640.0,103049.93000000001,100640.0,103049.93000000001,6800.000000000006
2025-06-23 15:00:00,000001.XSHE,8500,8500,11.04,11.04,11.93,101405.0,7565.000000000005,8.061594202898558,2409.9300000000076,101405.0,103814.93000000001,101405.0,103814.93000000001,7565.000000000005
2025-06-24 15:00:00,000001.XSHE,8500,8500,11.04,11.04,11.93,101405.0,7565.000000000005,8.061594202898558,2409.9300000000076,101405.0,103814.93000000001,101405.0,103814.93000000001,7565.000000000005
2025-06-25 15:00:00,000001.XSHE,8500,8500,11.04,11.04,12.06,102510.0,8670.000000000011,9.239130434782616,2409.9300000000076,102510.0,104919.93000000001,102510.0,104919.93000000001,8670.000000000011
2025-06-26 15:00:00,000001.XSHE,8500,8500,11.04,11.04,12.41,105485.0,11645.00000000001,12.409420289855078,2409.9300000000076,105485.0,107894.93000000001,105485.0,107894.93000000001,11645.00000000001
2025-06-27 15:00:00,000001.XSHE,8500,8500,11.04,11.04,12.2,103700.0,9860.000000000002,10.507246376811597,2409.9300000000076,103700.0,106109.93000000001,103700.0,106109.93000000001,9860.000000000002
2025-06-30 15:00:00,000001.XSHE,8500,8500,11.04,11.04,12.07,102595.0,8755.00000000001,9.329710144927539,2409.9300000000076,102595.0,105004.93000000001,102595.0,105004.93000000001,8755.00000000001
2025-07-01 15:00:00,000001.XSHE,8500,8500,11.04,11.04,12.3,104550.0,10710.000000000013,11.413043478260887,2409.9300000000076,104550.0,106959.93000000001,104550.0,106959.93000000001,10710.000000000013
2025-07-02 15:00:00,000001.XSHE,8500,8500,11.04,11.04,12.32,104720.0,10880.00000000001,11.594202898550732,2409.9300000000076,104720.0,107129.93000000001,104720.0,107129.93000000001,10880.00000000001
2025-07-03 15:00:00,000001.XSHE,8500,8500,11.04,11.04,12.35,104975.0,11135.000000000004,11.865942028985522,2409.9300000000076,104975.0,107384.93000000001,104975.0,107384.93000000001,11135.000000000004
2025-07-04 15:00:00,000001.XSHE,8500,8500,11.04,11.04,12.6,107100.0,13260.000000000004,14.130434782608692,2409.9300000000076,107100.0,109509.93000000001,107100.0,109509.93000000001,13260.000000000004
2025-07-07 15:00:00,000001.XSHE,8500,8500,11.04,11.04,12.78,108630.0,14790.000000000002,15.760869565217384,2409.9300000000076,108630.0,111039.93000000001,108630.0,111039.93000000001,14790.000000000002
2025-07-08 15:00:00,000001.XSHE,8500,8500,11.04,11.04,12.69,107865.0,14025.000000000004,14.945652173913038,2409.9300000000076,107865.0,110274.93000000001,107865.0,110274.93000000001,14025.000000000004
2025-07-09 15:00:00,000001.XSHE,8500,8500,11.04,11.04,12.84,109140.0,15300.000000000005,16.30434782608696,2409.9300000000076,109140.0,111549.93000000001,109140.0,111549.93000000001,15300.000000000005
2025-07-10 15:00:00,000001.XSHE,8500,8500,11.04,11.04,13.18,112030.0,18190.000000000004,19.3840579710145,2409.9300000000076,112030.0,114439.93000000001,112030.0,114439.93000000001,18190.000000000004
2025-07-11 15:00:00,000001.XSHE,8500,8500,11.04,11.04,12.91,109735.0,15895.00000000001,16.938405797101463,2409.9300000000076,109735.0,112144.93000000001,109735.0,112144.93000000001,15895.00000000001
2025-07-14 15:00:00,000001.XSHE,8500,8500,11.04,11.04,12.98,110330.0,16490.00000000001,17.572463768115966,2409.9300000000076,110330.0,112739.93000000001,110330.0,112739.93000000001,16490.00000000001
2025-07-15 15:00:00,000001.XSHE,8500,8500,11.04,11.04,12.73,108205.0,14365.000000000011,15.307971014492772,2409.9300000000076,108205.0,110614.93000000001,108205.0,110614.93000000001,14365.000000000011
2025-07-16 15:00:00,000001.XSHE,8500,8500,11.04,11.04,12.64,107440.0,13600.000000000013,14.492753623188426,2409.9300000000076,107440.0,109849.93000000001,107440.0,109849.93000000001,13600.000000000013
2025-07-17 15:00:00,000001.XSHE,8500,8500,11.04,11.04,12.59,107015.0,13175.000000000005,14.03985507246377,2409.9300000000076,107015.0,109424.93000000001,107015.0,109424.93000000001,13175.000000000005
2025-07-18 15:00:00,000001.XSHE,8500,8500,11.04,11.04,12.7,107950.0,14110.000000000002,15.036231884057983,2409.9300000000076,107950.0,110359.93000000001,107950.0,110359.93000000001,14110.000000000002
2025-07-21 15:00:00,000001.XSHE,8500,8500,11.04,11.04,12.61,107185.0,13345.000000000002,14.221014492753635,2409.9300000000076,107185.0,109594.93000000001,107185.0,109594.93000000001,13345.000000000002
2025-07-22 15:00:00,000001.XSHE,8500,8500,11.04,11.04,12.49,106165.0,12325.00000000001,13.134057971014501,2409.9300000000076,106165.0,108574.93000000001,106165.0,108574.93000000001,12325.00000000001
2025-07-23 15:00:00,000001.XSHE,8500,8500,11.04,11.04,12.53,106505.0,12665.000000000002,13.496376811594214,2409.9300000000076,106505.0,108914.93000000001,106505.0,108914.93000000001,12665.000000000002
2025-10-17 15:00:00,000001.XSHE,9200,0,11.49,11.49,11.4,104880.0,-827.9999999999986,-0.7832898172323799,2442.540000000008,104880.0,107322.54000000001,104880.0,107322.54000000001,-827.9999999999986
2025-10-20 15:00:00,000001.XSHE,9200,9200,11.254,11.254,11.42,105064.0,1527.2000000000035,1.4750311000533145,4179.500000000008,105064.0,109243.50000000001,105064.0,109243.50000000001,1527.2000000000035
2025-10-21 15:00:00,000001.XSHE,9200,9200,11.254,11.254,11.43,105156.0,1619.2000000000014,1.563888395237245,4179.500000000008,105156.0,109335.50000000001,105156.0,109335.50000000001,1619.2000000000014
2025-10-22 15:00:00,000001.XSHE,9200,9200,11.254,11.254,11.52,105984.0,2447.2000000000003,2.363604051892665,4179.500000000008,105984.0,110163.50000000001,105984.0,110163.50000000001,2447.2000000000003
2025-10-23 15:00:00,000001.XSHE,9200,9200,11.254,11.254,11.52,105984.0,2447.2000000000003,2.363604051892665,4179.500000000008,105984.0,110163.50000000001,105984.0,110163.50000000001,2447.2000000000003
2025-10-24 15:00:00,000001.XSHE,9200,9200,11.254,11.254,11.52,105984.0,2447.2000000000003,2.363604051892665,4179.500000000008,105984.0,110163.50000000001,105984.0,110163.50000000001,2447.2000000000003
2025-10-27 15:00:00,000001.XSHE,9200,9200,11.254,11.254,11.52,105984.0,2447.2000000000003,2.363604051892665,4179.500000000008,105984.0,110163.50000000001,105984.0,110163.50000000001,2447.2000000000003
2025-10-28 15:00:00,000001.XSHE,9200,9200,11.254,11.254,11.52,105984.0,2447.2000000000003,2.363604051892665,4179.500000000008,105984.0,110163.50000000001,105984.0,110163.50000000001,2447.2000000000003
2025-10-29 15:00:00,000001.XSHE,9200,9200,11.254,11.254,11.52,105984.0,2447.2000000000003,2.363604051892665,4179.500000000008,105984.0,110163.50000000001,105984.0,110163.50000000001,2447.2000000000003
2025-10-30 15:00:00,000001.XSHE,9200,9200,11.254,11.254,11.52,105984.0,2447.2000000000003,2.363604051892665,4179.500000000008,105984.0,110163.50000000001,105984.0,110163.50000000001,2447.2000000000003
2025-10-31 15:00:00,000001.XSHE,9200,9200,11.254,11.254,11.52,105984.0,2447.2000000000003,2.363604051892665,4179.500000000008,105984.0,110163.50000000001,105984.0,110163.50000000001,2447.2000000000003
2025-11-03 15:00:00,000001.XSHE,9200,9200,11.254,11.254,11.52,105984.0,2447.2000000000003,2.363604051892665,4179.500000000008,105984.0,110163.50000000001,105984.0,110163.50000000001,2447.2000000000003
2025-11-04 15:00:00,000001.XSHE,9200,9200,11.254,11.254,11.52,105984.0,2447.2000000000003,2.363604051892665,4179.500000000008,105984.0,110163.50000000001,105984.0,110163.50000000001,2447.2000000000003
2025-11-05 15:00:00,000001.XSHE,9200,9200,11.254,11.254,11.52,105984.0,2447.2000000000003,2.363604051892665,4179.500000000008,105984.0,110163.50000000001,105984.0,110163.50000000001,2447.2000000000003
2025-11-06 15:00:00,000001.XSHE,9200,9200,11.254,11.254,11.52,105984.0,2447.2000000000003,2.363604051892665,4179.500000000008,105984.0,110163.50000000001,105984.0,110163.50000000001,2447.2000000000003
2025-11-07 15:00:00,000001.XSHE,9200,9200,11.254,11.254,11.52,105984.0,2447.2000000000003,2.363604051892665,4179.500000000008,105984.0,110163.50000000001,105984.0,110163.50000000001,2447.2000000000003
2025-11-10 15:00:00,000001.XSHE,9200,9200,11.254,11.254,11.52,105984.0,2447.2000000000003,2.363604051892665,4179.500000000008,105984.0,110163.50000000001,105984.0,110163.50000000001,2447.2000000000003
2025-11-11 15:00:00,000001.XSHE,9200,9200,11.254,11.254,11.52,105984.0,2447.2000000000003,2.363604051892665,4179.500000000008,105984.0,110163.50000000001,105984.0,110163.50000000001,2447.2000000000003
2025-11-12 15:00:00,000001.XSHE,9200,9200,11.254,11.254,11.52,105984.0,2447.2000000000003,2.363604051892665,4179.500000000008,105984.0,110163.50000000001,105984.0,110163.50000000001,2447.2000000000003
2025-11-13 15:00:00,000001.XSHE,9200,9200,11.254,11.254,11.52,105984.0,2447.2000000000003,2.363604051892665,4179.500000000008,105984.0,110163.50000000001,105984.0,110163.50000000001,2447.2000000000003
2025-11-14 15:00:00,000001.XSHE,9200,9200,11.254,11.254,11.52,105984.0,2447.2000000000003,2.363604051892665,4179.500000000008,105984.0,110163.50000000001,105984.0,110163.50000000001,2447.2000000000003
2025-11-17 15:00:00,000001.XSHE,9200,9200,11.254,11.254,11.52,105984.0,2447.2000000000003,2.363604051892665,4179.500000000008,105984.0,110163.50000000001,105984.0,110163.50000000001,2447.2000000000003
2025-11-18 15:00:00,000001.XSHE,9200,9200,11.254,11.254,11.52,105984.0,2447.2000000000003,2.363604051892665,4179.500000000008,105984.0,110163.50000000001,105984.0,110163.50000000001,2447.2000000000003
2025-11-19 15:00:00,000001.XSHE,9200,9200,11.254,11.254,11.52,105984.0,2447.2000000000003,2.363604051892665,4179.500000000008,105984.0,110163.50000000001,105984.0,110163.50000000001,2447.2000000000003
2025-11-20 15:00:00,000001.XSHE,9200,9200,11.254,11.254,11.52,105984.0,2447.2000000000003,2.363604051892665,4179.500000000008,105984.0,110163.50000000001,105984.0,110163.50000000001,2447.2000000000003
2025-11-21 15:00:00,000001.XSHE,9200,9200,11.254,11.254,11.52,105984.0,2447.2000000000003,2.363604051892665,4179.500000000008,105984.0,110163.50000000001,105984.0,110163.50000000001,2447.2000000000003
2025-11-24 15:00:00,000001.XSHE,9200,9200,11.254,11.254,11.52,105984.0,2447.2000000000003,2.363604051892665,4179.500000000008,105984.0,110163.50000000001,105984.0,110163.50000000001,2447.2000000000003
2025-11-25 15:00:00,000001.XSHE,9200,9200,11.254,11.254,11.52,105984.0,2447.2000000000003,2.363604051892665,4179.500000000008,105984.0,110163.50000000001,105984.0,110163.50000000001,2447.2000000000003
2025-11-26 15:00:00,000001.XSHE,9200,9200,11.254,11.254,11.52,105984.0,2447.2000000000003,2.363604051892665,4179.500000000008,105984.0,110163.50000000001,105984.0,110163.50000000001,2447.2000000000003
2025-11-27 15:00:00,000001.XSHE,9200,9200,11.254,11.254,11.52,105984.0,2447.2000000000003,2.363604051892665,4179.500000000008,105984.0,110163.50000000001,105984.0,110163.50000000001,2447.2000000000003
2025-11-28 15:00:00,000001.XSHE,9200,9200,11.254,11.254,11.52,105984.0,2447.2000000000003,2.363604051892665,4179.500000000008,105984.0,110163.50000000001,105984.0,110163.50000000001,2447.2000000000003
2025-12-01 15:00:00,000001.XSHE,9200,9200,11.254,11.254,11.52,105984.0,2447.2000000000003,2.363604051892665,4179.500000000008,105984.0,110163.50000000001,105984.0,110163.50000000001,2447.2000000000003
