date,total_value,cash,positions_value,returns,returns_pct,benchmark_price,benchmark_value,benchmark_returns_pct,excess_returns_pct,daily_returns
2025-04-16 15:00:00,96278.08,96278.08,0.0,-3721.9199999999983,-3.721920000000001,3772.82,96027.3868003767,-3.9726131996232983,0.2506931996232975,0.0
2025-04-17 15:00:00,96278.08,96278.08,0.0,-3721.9199999999983,-3.721920000000001,3772.22,96012.11535035251,-3.9878846496474885,0.26596464964748767,0.0
2025-04-18 15:00:00,96278.08,96278.08,0.0,-3721.9199999999983,-3.721920000000001,3772.52,96019.7510753646,-3.980248924635399,0.25832892463539814,0.0
2025-04-21 15:00:00,96278.08,96278.08,0.0,-3721.9199999999983,-3.721920000000001,3784.88,96334.3429458627,-3.6656570541372946,-0.05626294586270619,0.0
2025-04-22 15:00:00,96278.08,96278.08,0.0,-3721.9199999999983,-3.721920000000001,3783.95,96310.67219832524,-3.689327801674769,-0.03259219832523197,0.0
2025-04-23 15:00:00,96278.08,96278.08,0.0,-3721.9199999999983,-3.721920000000001,3786.88,96385.24777927664,-3.6147522207233607,-0.10716777927664012,0.0
2025-04-24 15:00:00,96278.08,96278.08,0.0,-3721.9199999999983,-3.721920000000001,3784.36,96321.10768917509,-3.6788923108249105,-0.043027689175090256,0.0
2025-04-25 15:00:00,96278.08,96278.08,0.0,-3721.9199999999983,-3.721920000000001,3786.99,96388.0475451144,-3.611952454885603,-0.10996754511439777,0.0
2025-04-28 15:00:00,96278.08,96278.08,0.0,-3721.9199999999983,-3.721920000000001,3781.62,96251.368067398,-3.748631932601998,0.026711932601997113,0.0
2025-04-29 15:00:00,96278.08,96278.08,0.0,-3721.9199999999983,-3.721920000000001,3775.08,96084.90926213443,-3.9150907378655675,0.1931707378655667,0.0
2025-04-30 15:00:00,96278.08,96278.08,0.0,-3721.9199999999983,-3.721920000000001,3770.57,95970.11886278602,-4.029881137213975,0.3079611372139741,0.0
2025-05-06 15:00:00,96278.08,96278.08,0.0,-3721.9199999999983,-3.721920000000001,3808.54,96936.54712514953,-3.0634528748504697,-0.6584671251495311,0.0
2025-05-07 15:00:00,96278.08,96278.08,0.0,-3721.9199999999983,-3.721920000000001,3831.63,97524.24342691338,-2.4757565730866182,-1.2461634269133826,0.0
2025-05-08 15:00:00,96589.93000000001,2409.9300000000076,94180.0,-3410.0699999999924,-3.4100699999999873,3852.9,98065.61633027055,-1.9343836697294448,-1.4756863302705425,0.003239055037242089
2025-05-09 15:00:00,97184.93000000001,2409.9300000000076,94775.0,-2815.0699999999924,-2.8150699999999973,3846.16,97894.0670416656,-2.105932958334389,-0.7091370416656084,0.006160062441291858
2025-05-12 15:00:00,97269.93000000001,2409.9300000000076,94860.0,-2730.0699999999924,-2.7300699999999956,3890.61,99025.42696429025,-0.9745730357097471,-1.7554969642902485,0.0008746211989862918
2025-05-13 15:00:00,98374.93000000001,2409.9300000000076,95965.0,-1625.0699999999924,-1.6250699999999951,3896.26,99169.23311868461,-0.8307668813153923,-0.7943031186846028,0.011360139767757627
2025-05-14 15:00:00,99564.93000000001,2409.9300000000076,97155.0,-435.06999999999243,-0.43506999999999296,3943.21,100364.22408307668,0.36422408307668075,-0.7992940830766737,0.012096577857793722
2025-05-15 15:00:00,99224.93000000001,2409.9300000000076,96815.0,-775.0699999999924,-0.7750699999999888,3907.2,99447.68255745883,-0.5523174425411725,-0.22275255745881628,-0.0034148570184300286
2025-05-16 15:00:00,99139.93000000001,2409.9300000000076,96730.0,-860.0699999999924,-0.8600699999999906,3889.09,98986.73929089567,-1.0132607091043355,0.15319070910434496,-0.000856639556208294
2025-05-19 15:00:00,99054.93000000001,2409.9300000000076,96645.0,-945.0699999999924,-0.9450699999999923,3877.15,98682.83743541449,-1.3171625645855056,0.3720925645855133,-0.0008573740167054922
2025-05-20 15:00:00,99224.93000000001,2409.9300000000076,96815.0,-775.0699999999924,-0.7750699999999888,3898.17,99217.84723459493,-0.7821527654050753,0.007082765405086455,0.0017162194753961302
2025-05-21 15:00:00,99989.93000000001,2409.9300000000076,97580.0,-10.069999999992433,-0.01006999999999536,3916.38,99681.33574282879,-0.3186642571712195,0.30859425717122413,0.007709756005874757
2025-05-22 15:00:00,100584.93000000001,2409.9300000000076,98175.0,584.9300000000076,0.5849300000000168,3913.87,99617.4501768943,-0.3825498231057045,0.9674798231057213,0.005950599225341913
